Index	Reading No	Time	Type	Duration	Units	Sigma Value	Sequence	Flags	SAMPLE	LOCATION	INSPECTOR	MISC	NOTE	Res	EScale	Shape Time	Mo	Mo_Error	Zr	Zr_Error	Sr	Sr_Error	U	U_Error	Rb	Rb_Error	Th	Th_Error	Pb	Pb_Error	Au	Au_Error	Se	Se_Error	As	As_Error	Hg	Hg_Error	Zn	Zn_Error	W	W_Error	Cu	Cu_Error	Ni	Ni_Error	Co	Co_Error	Fe	Fe_Error	Mn	Mn_Error	Cr	Cr_Error	V	V_Error	Ti	Ti_Error	Sc	Sc_Error	Ca	Ca_Error	K	K_Error	S	S_Error	Nd	Nd_Error	Pr	Pr_Error	Ce	Ce_Error	La	La_Error	Ba	Ba_Error	Sb	Sb_Error	Sn	Sn_Error	Cd	Cd_Error	Pd	Pd_Error	Ag	Ag_Error	Bal	Bal_Error	Nb	Nb_Error	Y	Y_Error	Bi	Bi_Error	Re	Re_Error	Ta	Ta_Error	Hf	Hf_Error	Al	Al_Error	P	P_Error	Si	Si_Error	Cl	Cl_Error	Mg	Mg_Error	MgO	MgO_Error	Al2O3	Al2O3_Error	SiO2	SiO2_Error	P2O5	P2O5_Error	K2O	K2O_Error	CaO	CaO_Error	TiO2	TiO2_Error	MnO	MnO_Error	Fe2O3	Fe2O3_Error	Cs	Cs_Error	Te	Te_Error
145	145	43787.70903	TestAll Geo	121.89	ppm	2	Final	-3mm 	padrao	r salitre	kotaro	rocha	bloco gaviao				12.34	2.78	360.54	5.89	101.62	3.26	24.46	5.87	79.79	2.53	43.13	4.47	43	5.52	7.7	5.03	<LOD	2.59	101.78	6.9	<LOD	11.62	46.94	8.56	353.95	40.75	271.27	20.42	105.44	24.17	<LOD	93.88	39387.37	537.69	425.53	51.8	22.73	9.84	119.2	22.64	3864.6	80.34	<LOD	29.41	5716.9	131.5	25274.43	1018.08	1943.92	78.12	397.53	64.61	241.96	45.02	171.52	36.73	181.4	35.67	496.01	22.31	42.32	8.67	43.22	7.62	11.21	5.37	5.5	2.77	<LOD	4.64	575009.63	2052.43	10.42	1.96	2.46	1	22.01	12.69	<LOD	1.5	<LOD	1.5	<LOD	1.5	67655.31	1669.7	1269.1	211.59	279691.78	3605.61	958.88	44.32	<LOD	3668.46	<LOD	0	127868.54	0	598540.44	0	2906.24	0	30582.07	0	8003.66	0	6453.89	0	548.93	0	56323.93	0	153.9	11.03	55.94	9.93
171	171	43788.49028	TestAll Geo	120.66	ppm	2	Final	-3mm 	padrao	cprm	kotaro	rocha	bloco gaviao				14.02	2.66	348.49	5.54	100.01	3.09	13.66	5.35	79.13	2.39	39.21	4.18	51.16	5.62	<LOD	7.11	4.68	2.62	98	6.69	13.52	7.36	42.88	8.02	363.21	38.74	295.58	20.05	98	23.33	<LOD	90.54	39883.27	506.14	431.29	49.54	31.84	9.94	96.08	22.42	3905.88	80.49	44.58	19.84	5821.04	130.72	29869.73	1102.13	2275.84	90.47	409.48	70.3	277.74	49.22	153.27	39.66	226.24	39.1	461.36	20.81	49.13	8.26	37.31	7.1	14.66	5.13	<LOD	3.75	<LOD	4.33	536508.44	2073.76	9.31	1.84	2.12	1	<LOD	18.25	<LOD	1.5	<LOD	1.5	<LOD	1.5	74726.48	1931.31	682.11	239.77	302370.44	3226.71	1202.68	52.26	<LOD	4459.18	<LOD	0	141233.05	0	647072.75	0	1562.04	0	36142.38	0	8149.45	0	6522.82	0	556.37	0	57033.07	0	151.02	10.39	56.3	9.37
194	194	43788.56528	TestAll Geo	121.18	ppm	2	Final	-3mm 	padrao	cprm	kotaro	rocha	bloco gaviao				14.4	2.69	366.54	5.67	103.64	3.14	18.8	5.49	80.28	2.41	43.42	4.3	58.82	6.3	7.2	4.78	<LOD	2.79	98.82	6.67	<LOD	10.92	40.53	7.96	372.63	39.05	281.05	19.69	93.88	23.26	<LOD	92.21	40852.18	513.35	427.94	49.61	39.51	10.39	79.24	23.39	4167.58	84.93	<LOD	30.58	6294.25	137.51	30564.69	1110.83	<LOD	251.93	387.96	74.79	199.44	51.93	167.9	42.5	161.76	41.36	484.92	21.78	35.41	8.41	38.78	7.41	14.43	5.32	5.39	2.71	<LOD	4.61	521331.69	2130.39	11.51	1.88	2.3	1	26	11.99	<LOD	1.5	<LOD	1.5	<LOD	1.5	79796.58	2038.24	914.74	244.22	310468.03	3332.24	1213.24	52.4	<LOD	4983.34	<LOD	0	150815.53	0	664401.63	0	2094.75	0	36983.27	0	8811.94	0	6959.86	0	552.04	0	58418.62	0	150.86	10.79	67.53	9.85
218	218	43788.63819	TestAll Geo	120.25	ppm	2	Final	-3mm 	padrao	cprm	kotaro	rocha	bloco gaviao				14.05	2.69	373.14	5.71	104.2	3.14	24.17	5.61	80.73	2.42	44.11	4.31	47.19	5.44	<LOD	7.01	<LOD	2.92	107.62	6.78	<LOD	11.03	39.13	7.95	343.48	38.18	270.82	19.41	98.43	23.24	<LOD	91.34	40716.35	510.95	439.52	49.92	48.97	10.72	108.48	23.79	4166.63	84.99	<LOD	30.79	6435.33	139.64	30642.42	1129.77	2356.49	91.7	413.25	72.63	265.79	50.76	184.48	41.3	199.72	40.21	510.39	21.38	47.9	8.34	40.98	7.24	11.69	5.13	4.36	2.61	<LOD	4.36	517487.88	2141.36	11.5	1.89	2.5	1	18.28	12.17	<LOD	1.5	<LOD	1.5	<LOD	1.5	80916.95	2038.3	1169.55	247.27	312439.09	3351.32	1229.06	52.74	<LOD	4694.15	<LOD	0	152933.03	0	668619.69	0	2678.27	0	37077.34	0	9009.46	0	6958.27	0	566.98	0	58224.38	0	150.89	10.52	61.53	9.53
257	257	43790.4	TestAll Geo	121.13	ppm	2	Final	-3mm 	padrao		kotaro		50mim				11.14	2.67	379.22	5.77	104.44	3.16	20.12	5.55	81.23	2.43	45.42	4.37	47.58	5.48	<LOD	7.1	<LOD	2.54	104.73	6.76	<LOD	10.97	43.3	8.08	367.99	38.82	293.08	19.98	102.08	23.39	<LOD	92.02	41002.46	514.92	490.95	51.21	31.75	10.48	98.02	23.96	4127.56	86.29	<LOD	31.03	6119.78	139.99	29305.72	1134.49	2231.61	87.5	473.97	74.7	310.05	52.15	203.03	42.37	196.02	40.99	492.3	21.88	41.04	8.5	35.54	7.36	12.61	5.3	<LOD	3.99	<LOD	4.5	525605.38	2115.93	12.18	1.89	2.34	1	<LOD	18.48	<LOD	1.5	<LOD	1.5	<LOD	1.5	79058.3	1940.26	1515.2	241.86	307185.66	3299.99	1204.6	51.1	<LOD	4136.2	<LOD	0	149420.19	0	657377.31	0	3469.8	0	35459.92	0	8567.69	0	6893.02	0	633.33	0	58633.52	0	150.99	10.82	51.49	9.7
279	279	43790.50139	TestAll Geo	120.05	ppm	2	Final	-3mm 	padrao	rio salitri	kotaro	rocha					10.23	2.64	378.61	5.69	102.79	3.1	32.43	5.74	79.5	2.38	43.08	4.25	56.11	6.14	11.5	5.01	<LOD	2.53	102.38	6.66	<LOD	11.22	48.6	8.21	354.35	39.23	272.14	19.27	109.23	23.07	<LOD	89.47	40611.27	508.87	417.54	48.93	41.32	10.35	91.51	22.81	4193.45	82.9	<LOD	30.74	6409.33	137.75	29435.59	1085.86	2294.64	93.56	470.8	70.11	292.14	48.84	225	40.04	198.63	38.49	500.38	21.08	42.61	8.18	35.61	7.07	10.78	5.06	<LOD	3.79	<LOD	4.26	519984.56	2112.19	10.27	1.85	2.61	1	<LOD	18.12	<LOD	1.5	<LOD	1.5	<LOD	1.5	81085.98	2380.55	1421.62	259	310871.94	3286.87	1158.64	53.63	<LOD	8192.83	<LOD	0	153252.52	0	665266	0	3255.5	0	35617.07	0	8973.06	0	7003.06	0	538.63	0	58074.11	0	152.28	10.4	52.9	9.34
302	302	43790.57153	TestAll Geo	122.6	ppm	2	Final	-3mm 	padrao	rio salitri	kotaro	rocha					12.83	2.89	377.73	6.18	102.73	3.37	26.41	6.05	78.36	2.58	42.86	4.6	54.01	6.61	7.95	5.22	<LOD	2.76	98.96	7.14	<LOD	12.1	48.71	8.9	376.27	42.49	274.01	21.04	107.81	24.57	<LOD	97.11	40275.13	551.75	456.78	54.14	32.91	10.44	96.78	23.49	4099.32	84.89	<LOD	31.08	6153.4	139.84	24312.03	920.98	1837.42	71.01	382.17	56.81	208.78	39.41	170.67	32.39	186.61	31.42	491.93	21.4	37	8.25	32.44	7.14	<LOD	7.62	5.79	2.66	<LOD	4.27	590466.81	2053.86	11.55	2.04	2.48	1	<LOD	19.6	<LOD	1.5	<LOD	1.5	<LOD	1.5	64525.71	1540.01	1156.76	196.11	266735.75	3003.62	938.97	40.82	<LOD	3409.99	<LOD	0	121953.6	0	570814.56	0	2648.98	0	29417.55	0	8614.76	0	6845.86	0	589.25	0	57593.43	0	141.49	10.53	44.23	9.41
324	324	43790.63333	TestAll Geo	121.95	ppm	2	Final	-3mm 	padrao	rio salitri	kotaro	rocha					9.27	2.62	378.04	5.68	103.19	3.1	31.5	5.73	80.11	2.39	38.94	4.12	56.76	6.14	<LOD	7.14	<LOD	3.86	102.15	6.68	18.06	7.55	50.33	8.24	372.82	38.68	290.07	19.64	86.52	22.64	<LOD	89.29	40594.62	507.09	422.24	49	30.13	10.35	122.2	23.55	4174.62	84.01	<LOD	30.91	6402.28	139.98	30334.46	1142.5	2241.18	89.77	505.04	70.78	317.94	49.29	189.95	39.86	225.63	38.87	465.48	20.57	35.84	7.98	33.29	6.94	9.2	4.96	4.96	2.56	<LOD	4.22	519878.28	2110.2	12.72	1.89	2.3	1	<LOD	17.3	<LOD	1.5	<LOD	1.5	<LOD	1.5	81917.57	2039.88	1531.19	248.05	309275.91	3514.87	1072	50.74	<LOD	4532.86	<LOD	0	154824.2	0	661850.5	0	3506.42	0	36704.7	0	8963.19	0	6971.61	0	544.68	0	58050.3	0	145.17	10.22	49.65	9.18
347	347	43790.69097	TestAll Geo	122.76	ppm	2	Final	-3mm 	padrao	rio salitri	kotaro	rocha					10.62	2.67	399.01	5.85	104.09	3.13	30.21	5.75	81.2	2.42	38.72	4.14	47.52	5.43	7.7	4.84	<LOD	3.87	102.49	6.66	12.01	7.5	48.51	8.24	343.16	38.53	278.63	19.53	99.73	23.19	<LOD	90.71	40698.91	521.16	466.78	50.22	27.82	10.17	100.07	23.23	4131.65	83.61	43.59	20.91	6397.2	138.09	30483.56	1177.25	2240.7	91.34	467.77	73.22	299.71	51.08	195.74	41.48	217.07	40.37	503.87	21.32	42.87	8.27	37.87	7.17	11.27	5.12	5.41	2.64	<LOD	4.25	518575.25	2131.86	10.64	1.87	2.32	1	<LOD	18.08	<LOD	1.5	<LOD	1.5	<LOD	1.5	80480.46	2062.44	1740.44	248.5	314042.25	4177.72	1169.65	52.6	<LOD	5017.48	<LOD	0	152108.06	0	672050.44	0	3985.62	0	36885.11	0	8956.08	0	6899.86	0	602.15	0	58199.44	0	162.79	10.57	61.3	9.52
375	375	43791.38889	TestAll Geo	120.51	ppm	2	Final	-3mm 	padrao	rio salitre	kotaro	rocha	cali				14.47	2.85	370.54	6	100.84	3.27	27.7	6.05	82.97	2.58	43.25	4.53	47.45	5.76	<LOD	7.48	<LOD	2.67	102.3	7.05	14.48	7.98	46.44	8.65	339.93	40.47	290.2	20.98	96.85	24.06	<LOD	95.96	40659.95	546.78	469.68	53.36	31.93	10.34	112.56	23.63	4254.34	84.78	<LOD	31.05	6407.09	139.35	26472.77	987.53	2088.18	80.6	371.17	60.68	216.45	42.27	155.64	34.47	146.36	33.44	466	20.71	36.45	8.04	36.62	7.04	<LOD	7.44	4.92	2.58	<LOD	4.29	568034.5	2090.61	12.94	2.02	2.25	1	<LOD	27.98	<LOD	1.5	<LOD	1.5	<LOD	1.5	69609.6	1907.78	1093.2	217.18	279751.78	2988.45	967.06	44.65	<LOD	6802.61	<LOD	0	131562.14	0	598668.81	0	2503.42	0	32032.05	0	8969.93	0	7104.75	0	605.89	0	58143.73	0	145.45	10.29	54.5	9.29
