Index	Reading No	Time	Type	Duration	Units	Sigma Value	Sequence	Flags	SAMPLE	LOCATION	INSPECTOR	MISC	NOTE	Res	EScale	Shape Time	Mo	Mo Error	Zr	Zr Error	Sr	Sr Error	U	U Error	Rb	Rb Error	Th	Th Error	Pb	Pb Error	Au	Au Error	Se	Se Error	As	As Error	Hg	Hg Error	Zn	Zn Error	W	W Error	Cu	Cu Error	Ni	Ni Error	Co	Co Error	Fe	Fe Error	Mn	Mn Error	Cr	Cr Error	V	V Error	Ti	Ti Error	Sc	Sc Error	Ca	Ca Error	K	K Error	S	S Error	Nd	Nd Error	Pr	Pr Error	Ce	Ce Error	La	La Error	Ba	Ba Error	Sb	Sb Error	Sn	Sn Error	Cd	Cd Error	Pd	Pd Error	Ag	Ag Error	Bal	Bal Error	Nb	Nb Error	Y	Y Error	Bi	Bi Error	Re	Re Error	Ta	Ta Error	Hf	Hf Error	Al	Al Error	P	P Error	Si	Si Error	Cl	Cl Error	Mg	Mg Error	MgO	MgO Error	Al2O3	Al2O3 Error	SiO2	SiO2 Error	P2O5	P2O5 Error	K2O	K2O Error	CaO	CaO Error	TiO2	TiO2 Error	MnO	MnO Error	Fe2O3	Fe2O3 Error	Cs	Cs Error	Te	Te Error
1	1	10/10/2019 14:36	TestAll Geo	180.98	ppm	2	Final	-3mm 									18.22	1.91	375.53	4	100.74	2.16	11.98	3.7	78.69	1.61	44.79	3.03	51.04	3.92	5.77	3.3	3.7	1.82	101.15	4.71	10.18	5.17	41.84	5.62	366.74	26.18	304.15	13.63	66.2	15.97	<LOD	101.84	40600.45	349.79	455.1	35.1	30.86	7.28	81.17	16.66	3880.51	60.11	<LOD	21.61	5937.82	97.47	29640.94	787.96	2219.4	80.74	473.75	72.99	297.29	50.88	222.04	41.64	200.61	40.11	344.59	31	<LOD	12.13	<LOD	12.31	<LOD	7.37	<LOD	3.18	<LOD	20.53	521197.75	1481.49	13.54	1.29	2.49	1	32.35	8.11	<LOD	1.5	<LOD	1.5	<LOD	1.5	80327.19	1840.32	594.46	226.3	311397.31	2463.31	856.05	43.88	<LOD	4381.63	<LOD	0	151818.39	0	666390.31	0	1361.32	0	35865.54	0	8312.95	0	6480.46	0	587.08	0	58058.64	0				
2	2	10/10/2019 14:40	TestAll Geo	181	ppm	2	Final	-3mm 									17.14	1.9	375.38	3.99	102.14	2.17	9.52	3.65	79.19	1.61	43.01	2.98	50.96	4.09	<LOD	4.8	3.67	1.8	104.33	4.67	<LOD	7.74	42.19	5.63	363.09	25.87	289.61	13.4	71.5	16.02	106.12	67.89	40350.77	350.57	447.51	34.97	33.52	7.28	79.21	16.41	3912.68	59.59	27.16	14.52	5925.68	97.31	29639.18	786.28	2267.4	82.21	421.74	74.54	275.49	52.12	198.07	42.5	184.63	41.13	374.24	32.03	<LOD	13.78	<LOD	12.39	<LOD	7.08	<LOD	3.11	<LOD	21.15	520209	1484.35	12.02	1.27	2.48	1	28.28	8.11	<LOD	1.5	<LOD	1.5	<LOD	1.5	80493.37	1834.38	666.31	228.71	312911.56	2555.45	878.92	44.49	<LOD	4083.59	<LOD	0	152132.47	0	669630.75	0	1525.84	0	35863.41	0	8295.95	0	6534.17	0	577.29	0	57701.6	0				
3	3	10/10/2019 14:43	TestAll Geo	180.16	ppm	2	Final	-3mm 									19.13	1.93	381.98	4.04	102.73	2.19	10.17	3.7	80.02	1.63	44.44	3.03	53.6	4.17	7.94	3.4	3.65	1.85	101.62	4.71	<LOD	7.84	37.42	5.57	353	26.34	291.26	13.5	84.19	16.27	<LOD	102.41	40578.41	354.18	479.77	35.62	28.15	7.2	78.6	16.54	3927	59.83	<LOD	21.61	6019.83	97.09	30058.42	791.06	2357.02	83.19	417.7	73.64	278.14	51.53	142.66	41.41	159.44	40.55	327.4	31.4	<LOD	12.36	<LOD	12.34	<LOD	6.08	<LOD	3.18	<LOD	20.95	513663.63	1509.47	11.59	1.27	2.44	1	32.99	8.17	<LOD	1.5	<LOD	1.5	<LOD	1.5	82223.41	1851.86	521.33	228.4	316811.44	2533.55	878.15	44.45	<LOD	4124.26	<LOD	0	155402.25	0	677976.5	0	1193.84	0	36370.69	0	8427.76	0	6558.09	0	618.9	0	58027.13	0				
4	4	10/10/2019 14:47	TestAll Geo	181.15	ppm	2	Final	-3mm 									17.81	1.9	376.49	3.99	84.34	1.78	11.82	3.7	80.33	1.6	44.36	3.01	53.42	4.09	4.92	3.24	2.85	1.78	104.59	4.71	<LOD	7.71	46.1	5.72	385.89	26.01	290.23	13.22	84.17	16.1	115.24	66.84	40373.75	343.64	446.89	34.82	35.27	7.23	75.94	16.35	3981.05	59.37	29.81	14.38	6019.27	96.09	28479	734.17	2209.71	79.36	429	70.19	237.11	48.76	180.4	39.84	173.61	38.65	323.22	29.9	<LOD	11.77	<LOD	11.64	<LOD	6.91	<LOD	2.92	<LOD	19.85	525132.81	1464.84	11.95	1.26	2.45	1	24.38	8.14	<LOD	1.5	<LOD	1.5	<LOD	1.5	80662.1	1838.71	578.33	221.48	304671.03	2311.4	799.53	42.5	<LOD	4453.25	7361.38	0	152451.38	0	651996.06	0	1324.38	0	34459.59	0	8426.98	0	6648.35	0	576.49	0	57734.45	0				
5	5	10/10/2019 14:50	TestAll Geo	180	ppm	2	Final	-3mm 									17.1	1.91	378.04	4.03	102.46	2.19	13.5	3.78	81.34	1.65	41.99	2.99	54.89	4.2	7.77	3.38	<LOD	2.52	104.37	4.74	9.35	5.26	43.6	5.71	353.65	26.38	298.44	13.62	62.91	16.06	151.08	68.85	40474.78	351.5	464.63	35.43	26.62	6.96	79.66	16.06	3933.66	58.08	25.22	14.01	5992.8	94.08	30122.97	770.72	2361.92	88	420.55	72.63	308.26	51.02	170.47	41.11	190.33	40.13	353.6	31.09	<LOD	16.93	<LOD	12.08	<LOD	6.1	<LOD	3.09	<LOD	20.6	508208.09	1468.58	11.63	1.28	2.39	1	28.12	8.21	<LOD	1.5	<LOD	1.5	<LOD	1.5	84329.5	1983.11	798.04	245.92	319623.94	2440.89	858.69	47.09	<LOD	4289.92	<LOD	0	159382.75	0	683995.25	0	1827.52	0	36448.8	0	8389.92	0	6569.22	0	599.37	0	57878.93	0				
6	6	10/10/2019 14:54	TestAll Geo	181.12	ppm	2	Final	-3mm 									17	1.92	378.75	4.06	85.51	1.84	13.15	3.79	80.15	1.64	45.4	3.08	48.01	3.87	8.92	3.45	<LOD	3.28	105.22	4.77	9.97	5.29	48.8	5.86	347.89	26.62	295.19	13.64	79.49	16.31	<LOD	65.08	40683.44	355.18	424.29	34.94	38.39	7.2	86.5	16.23	3928.71	58.46	<LOD	21.13	6055.62	95.37	29899.74	776.13	<LOD	175.56	437.14	73.46	266.15	51.21	167.11	41.48	184.92	40.49	342.9	31.34	<LOD	12.28	<LOD	12.24	<LOD	10.57	<LOD	3.24	<LOD	20.84	514956.72	1515.47	12.58	1.3	2.65	1	28.29	8.27	<LOD	1.5	<LOD	1.5	<LOD	1.5	82132.53	1847.65	478.36	227.88	315340.66	2444.56	861.51	44.18	<LOD	4060.66	<LOD	0	155230.48	0	674829.06	0	1095.45	0	36178.69	0	8477.87	0	6560.95	0	547.33	0	58177.31	0				
7	7	10/10/2019 14:57	TestAll Geo	180.47	ppm	2	Final	-3mm 									17.37	1.92	377.43	4.03	103.87	2.21	14.19	3.8	81.06	1.64	40.77	2.97	56.12	4.23	6.3	3.34	3.02	1.81	105.49	4.79	9.31	5.23	47.22	5.79	361.67	26.37	291.95	13.52	67.34	16.12	114.24	68.53	40399.73	354.62	465.73	35.56	24.33	7.18	98.04	16.71	3872.15	59.6	27.14	14.49	6020.75	96.98	29926.7	800.33	2355.46	82.91	448.39	75.67	275.83	52.76	190.82	42.93	190.82	41.7	359.15	32.31	<LOD	12.85	<LOD	12.63	<LOD	6.36	<LOD	3.41	<LOD	21.47	512419.28	1516.62	12.35	1.28	2.42	1	23.28	8.2	<LOD	1.5	<LOD	1.5	<LOD	1.5	82563.18	1840.58	585.13	228.32	317644.53	2554.82	882.07	44.34	<LOD	3938.78	<LOD	0	156044.41	0	679759.31	0	1339.96	0	36211.3	0	8429.05	0	6466.49	0	600.79	0	57771.62	0				
8	8	10/10/2019 15:01	TestAll Geo	180.53	ppm	2	Final	-3mm 									17.98	1.92	376.35	4.02	104.89	2.21	14.57	3.78	80.18	1.63	44.58	3.03	54.19	4.16	7.74	3.38	2.92	1.81	105.32	4.74	<LOD	7.78	43.34	5.67	347.13	26.17	286.46	13.4	91.52	16.34	<LOD	64.34	40584.05	355.34	457.66	35.28	36.49	7.37	73.16	16.58	3975.92	60.33	30.53	14.6	5964.21	97.55	30374.87	803.31	2244.65	81.42	448.89	72.37	283.92	50.5	193.53	41.1	204.61	39.94	340.5	30.81	<LOD	12.11	<LOD	12.05	<LOD	6.05	<LOD	3.12	<LOD	20.46	514635.81	1502.91	11.35	1.27	2.41	1	21.71	8.28	<LOD	1.5	<LOD	1.5	<LOD	1.5	81198.7	1814.42	908.24	230.1	316523.03	2602.85	873.23	44.18	<LOD	3732.21	<LOD	0	153465.55	0	677359.31	0	2079.87	0	36753.59	0	8349.9	0	6639.79	0	590.38	0	58035.2	0				
9	9	10/10/2019 15:04	TestAll Geo	180.11	ppm	2	Final	-3mm 									16.03	1.89	377.19	4.01	103.32	2.19	13.42	3.73	78.95	1.61	42.37	2.97	49.67	4.05	9.25	3.41	<LOD	2.58	103.9	4.66	<LOD	7.83	44.29	5.71	335.67	26.25	287.85	13.37	63.56	15.9	<LOD	101.81	40640.91	347.2	459.55	35.14	27.92	6.94	86.77	15.97	3910.23	57.5	<LOD	20.88	6069.21	94.07	29923.99	763.31	<LOD	173.62	428.04	72.96	285.54	51.05	204.29	41.65	202.65	40.35	351.45	31.19	<LOD	12.26	<LOD	12.28	<LOD	6.13	<LOD	2.96	<LOD	20.7	504084.78	1479.94	12.21	1.28	2.44	1	20.85	8.2	<LOD	1.5	<LOD	1.5	<LOD	1.5	85187.36	2017.96	656	242.67	319991.75	2453.83	824.9	46.12	<LOD	4760.31	5631.66	0	161004.11	0	684782.38	0	1502.24	0	36208.03	0	8496.89	0	6530.08	0	592.82	0	58116.49	0				
10	10	10/10/2019 15:08	TestAll Geo	180.59	ppm	2	Final	-3mm 									17.26	1.91	372.5	4.01	103.19	2.2	14.22	3.78	80.87	1.64	40.86	2.96	46.8	3.82	5.94	3.32	3.21	1.82	103.41	4.7	<LOD	7.79	51.04	5.88	353.97	26.28	280.15	13.37	80.17	16.23	<LOD	64.6	40686.21	350.96	481.38	35.78	38.15	7.25	92.89	16.19	4028.26	58.62	28.85	14.36	6029.19	96.27	30304.39	786.42	2324.27	85	480.31	74.88	273.8	52	217.3	42.62	187.61	41.06	369.2	31.91	<LOD	12.53	<LOD	12.57	<LOD	9.76	<LOD	3.38	<LOD	21.14	509878.16	1467.98	12.32	1.29	2.42	1	22.92	8.18	<LOD	1.5	<LOD	1.5	<LOD	1.5	83895.36	1977.96	748.47	237.57	318107.66	2460.86	901.01	46.11	<LOD	4936.48	<LOD	0	158562.23	0	680750.44	0	1714.01	0	36668.31	0	8440.87	0	6727.2	0	620.99	0	58181.27	0				
