CORE	FROM	LITHO
apa2001	3.6	Metapelite
apa2001	4.12	Metapelite
apa2001	5.39	Metapelite
apa2001	6	Metapelite
apa2001	7.2	Metapelite
apa2001	8.35	Metapelite
apa2001	9.15	Metapelite
apa2001	10.06	Metapelite
apa2001	11.2	Metapelite
apa2001	11.7	Metapelite
apa2001	12.65	Metapelite
apa2001	14	Metapelite
apa2001	14.84	Metapelite
apa2001	15.34	Metapelite
apa2001	16.3	Metapelite
apa2001	17.4	Metapelite
apa2001	18.3	Carbonaceous Phyllite
apa2001	19.26	Carbonaceous Phyllite
apa2001	19.78	Metapelite
apa2001	20.75	Metapelite
apa2001	21.77	Carbonaceous Phyllite
apa2001	22.89	Carbonaceous Phyllite
apa2001	24.2	Carbonaceous Phyllite
apa2001	25	Carbonaceous Phyllite
apa2001	25.57	Carbonaceous Phyllite
apa2001	26.27	Carbonaceous Phyllite
apa2001	27.64	Carbonaceous Phyllite
apa2001	28.54	Metapelite
apa2001	29.55	Metapelite
apa2001	30.18	Carbonaceous Phyllite
apa2001	31.69	Metapelite
apa2001	32.06	Metapelite
apa2001	33.47	Metapelite
apa2001	34.22	Carbonaceous Phyllite
apa2001	35.41	Carbonaceous Phyllite
apa2001	35.83	Metapelite
apa2001	37.56	Carbonaceous Phyllite
apa2001	39	Carbonaceous Phyllite
apa2001	39.58	Metapelite
apa2001	40.76	Metapelite
apa2001	41.63	Carbonaceous Phyllite
apa2001	42.68	Metapelite
apa2001	44.04	Carbonaceous Phyllite
apa2001	44.92	Carbonaceous Phyllite
apa2001	45.44	Carbonaceous Phyllite
apa2001	46.83	Carbonaceous Phyllite
apa2001	47.49	Carbonaceous Phyllite
apa2001	48.55	Carbonaceous Phyllite
apa2001	49.36	Carbonaceous Phyllite
apa2001	50.3	Carbonaceous Phyllite
apa2001	51.7	Carbonaceous Phyllite
apa2001	52.42	Carbonaceous Phyllite
apa2001	53.6	Carbonaceous Phyllite
apa2001	54.4	Carbonaceous Phyllite
apa2001	54.69	Carbonaceous Phyllite
apa2001	55.17	Carbonaceous Phyllite
apa2001	56.08	Carbonaceous Phyllite
apa2001	56.22	Carbonaceous Phyllite
apa2001	56.52	Carbonaceous Phyllite
apa2001	57.82	Carbonaceous Phyllite
apa2001	58.26	Carbonaceous Phyllite
apa2001	58.82	Carbonaceous Phyllite
apa2001	59.4	Carbonaceous Phyllite
apa2001	59.88	Carbonaceous Phyllite
apa2001	60.87	Carbonaceous Phyllite
apa2001	61.52	Carbonaceous Phyllite
apa2001	62.1	Carbonaceous Phyllite
apa2001	62.3	Carbonaceous Phyllite
apa2001	63.53	Carbonaceous Phyllite
apa2001	63.95	Carbonaceous Phyllite
apa2001	64.13	Carbonaceous Phyllite
apa2001	64.99	Carbonaceous Phyllite
apa2001	65.39	Carbonaceous Phyllite
apa2001	65.76	Carbonaceous Phyllite
apa2001	66.1	Carbonaceous Phyllite
apa2001	66.72	Carbonaceous Phyllite
apa2001	66.98	Carbonaceous Phyllite
apa2001	67.4	Carbonaceous Phyllite
apa2001	68.28	Carbonaceous Phyllite
apa2001	68.8	Carbonaceous Phyllite
apa2001	69.2	Carbonaceous Phyllite
apa2001	69.85	Carbonaceous Phyllite
apa2001	70.22	Carbonaceous Phyllite
apa2001	70.55	Carbonaceous Phyllite
apa2001	71.63	Carbonaceous Phyllite
