Index	Date	Time	Duration	SAMPLE	TYPE	CORE	Mo	Zr	Sr	U	Rb	Th	Pb	Au	Se	As	Hg	Zn	W	Cu	Ni	Co	Fe	Mn	Cr	V	Ti	Sc	Ca	K	S	Nd	Pr	Ce	La	Ba	Sb	Sn	Cd	Pd	Ag	Bal	Nb	Y	Bi	Re	Ta	Hf	Al	P	Si	Cl	Mg	Cs	Te
122	43787	0.649305556	121.27	apa2001-3.60-1	S	APA2001	<LOD	76.01	33.91	<LOD	32.88	<LOD	22.57	<LOD	<LOD	<LOD	<LOD	<LOD	1988.89	703.82	1583.91	<LOD	13557.28	<LOD	13.63	4.62	51.76	2.66	<LOD	11835.34	5788.65	889.21	478.34	334.1	340.88	1582.19	220.57	128.9	68.26	21.01	<LOD	930497.81	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2810.67	17451.25	9556.24	<LOD	502.36	274.78
123	43787	0.651388889	122.27	apa2001-3.60-1	D	APA2001	<LOD	76.23	33.65	<LOD	30.62	<LOD	20.47	<LOD	<LOD	<LOD	<LOD	<LOD	2050.24	663.79	1438.91	303.91	13657.08	<LOD	13.83	5.55	48.95	1.7	1002.19	11017.76	5997.69	935.82	544.98	368.22	433.93	1759.26	228.99	135.78	97.87	37.58	<LOD	928711.31	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2772.08	19809.16	9307.36	<LOD	614.06	258.88
124	43787	0.654861111	121.22	apa2001-4.12-01	S	APA2001	<LOD	92.11	55.05	<LOD	12.51	<LOD	<LOD	<LOD	<LOD	23.22	<LOD	<LOD	2050.02	724.59	1481.88	<LOD	7150.01	<LOD	13.85	2.96	31.93	2.55	<LOD	668.43	6796.8	603.07	367.44	302.49	253.17	1470.85	264.49	172.06	83.14	31.82	<LOD	938172.5	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	3050.34	18157.34	10447.3	<LOD	622.8	382.77
125	43787	0.656944444	122.01	apa2001-4.12-01	D	APA2001	<LOD	89.11	52.9	<LOD	10.48	<LOD	<LOD	<LOD	<LOD	19.85	<LOD	<LOD	2023.29	724.67	1685.76	<LOD	7426.23	<LOD	14	3.56	27.48	1.96	<LOD	633.56	5909.68	689.43	393	304.53	316.67	1342.29	266.59	151.57	80.72	<LOD	<LOD	947237.69	7.79	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2128.87	12925.2	9152.43	<LOD	578.28	298.7
126	43787	0.660416667	121.46	apa2001-5.39-01	S	APA2001	<LOD	63.71	36.59	<LOD	13.14	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	1846.46	613.73	1291.12	304.34	11021.04	<LOD	12.33	4.38	37.02	1.92	1078.7	686.64	6078.97	808.11	701.36	363.46	412.41	1103.01	211.96	129.47	65.83	27.07	<LOD	936717.5	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2360.42	18557.09	9201.67	<LOD	510.48	237.48
127	43787	0.6625	121.91	apa2001-5.39-01	D	APA2001	<LOD	69.72	38.04	<LOD	14.53	<LOD	17.1	<LOD	<LOD	18.16	<LOD	<LOD	1852.01	639.22	1405.39	<LOD	9803.31	<LOD	12.85	4.22	38.76	2.37	<LOD	699.56	5927.4	710.33	556.56	335.91	361.38	1184.43	228.35	102.11	63.86	<LOD	<LOD	936845.06	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2257.36	20553.18	8777.4	<LOD	498.56	253.99
128	43787	0.665972222	139.78	apa2001-7.20-1	S	APA2001	<LOD	87.19	25.43	1.98	32.93	<LOD	16.88	<LOD	<LOD	<LOD	<LOD	<LOD	1497.33	578.22	1099.06	206.24	11680.92	<LOD	<LOD	<LOD	<LOD	NA	1452.37	10446.29	5018.41	657.92	361.71	244.25	296.18	561.71	<LOD	<LOD	<LOD	<LOD	<LOD	934896.75	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2117.89	20942.34	7761.18	<LOD	NA	NA
130	43787	0.669444444	121.41	apa2001-7.20-2	D	APA2001	<LOD	78.53	22.05	<LOD	24.88	<LOD	15.33	<LOD	<LOD	<LOD	<LOD	<LOD	1316.69	459.72	915.82	<LOD	13740.98	<LOD	12.18	6.23	59.01	3.79	68.86	1006.36	4011.19	611.12	432.14	196.6	278.58	1309.25	204.55	135.06	69.72	23.45	<LOD	937036.06	7.38	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	1364.15	24174.19	5476.86	<LOD	522.85	242.79
131	43787	0.672222222	122.81	apa2001-6.00-1	S	APA2001	<LOD	91.59	61.95	<LOD	14.9	<LOD	20.39	<LOD	<LOD	15.83	<LOD	<LOD	1872.37	677.2	1285.59	<LOD	10198.89	<LOD	13.49	5.48	49.44	3.38	227.6	703.17	5622.82	882.99	483.59	304.92	347.78	1161.92	220.12	145.58	69.88	18.27	<LOD	924191.06	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2444.65	29828.1	8862.46	<LOD	517.14	280.1
132	43787	0.674305556	120.7	apa2001-6.00-2	D	APA2001	<LOD	73.79	90.9	<LOD	11.23	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	1770.89	618.72	1312.17	343.45	7514.87	<LOD	12.48	3.22	32.9	<LOD	536.8	661.2	5687.81	639.65	394.21	211.36	237.74	1026.08	222.61	117.94	56.52	23.02	<LOD	931341.25	6.73	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2800.87	20762.26	8953.9	<LOD	518.19	264.17
134	43787	0.679861111	122.07	apa2001-8.35-01	S	APA2001	<LOD	83.57	23.21	<LOD	21.55	<LOD	29.38	<LOD	<LOD	<LOD	<LOD	<LOD	1713.45	642.27	1243.16	<LOD	7929.16	<LOD	12.68	4.24	27.86	2.1	1084.69	777.43	6022.46	667.71	519.85	<LOD	261.24	1330.17	260.65	132.3	81.8	20.5	<LOD	927878.5	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	1997.61	30940.87	8952.49	<LOD	561.63	272.85
135	43787	0.681944444	120.89	apa2001-8.35-02	D	APA2001	<LOD	89.05	23.07	<LOD	21.64	14.14	22.65	<LOD	<LOD	<LOD	<LOD	<LOD	1714.25	622.23	1244.09	<LOD	9409.4	<LOD	14.12	4.34	44.95	2.9	1117.21	770.41	5277.48	627.67	338.89	313.9	240.28	1262.05	198.66	121.6	47.35	23.05	<LOD	937224.13	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2366.12	21799.76	8184.35	<LOD	436.42	237.19
