Index	Date	Time	Duration	SAMPLE	TYPE	CORE	Mo	Zr	Sr	U	Rb	Th	Pb	Au	Se	As	Hg	Zn	W	Cu	Ni	Co	Fe	Mn	Cr	V	Ti	Sc	Ca	K	S	Nd	Pr	Ce	La	Ba	Sb	Sn	Cd	Pd	Ag	Bal	Nb	Y	Bi	Re	Ta	Hf	Al	P	Si	Cl	Mg	Cs	Te
124	18/11/2019	15:43:00	121.22	apa2001-004.12-1	S	APA2001	<LOD	92.11	55.05	<LOD	12.51	<LOD	<LOD	<LOD	<LOD	23.22	<LOD	<LOD	2050.02	724.59	1481.88	<LOD	7150.01	<LOD	13.85	2.96	31.93	2.55	<LOD	668.43	6796.80	603.07	367.44	302.49	253.17	1470.85	264.49	172.06	83.14	31.82	<LOD	938172.50	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	3050.34	18157.34	10447.30	<LOD	622.80	382.77
125	18/11/2019	15:46:00	122.01	apa2001-004.12-2	D	APA2001	<LOD	89.11	52.90	<LOD	10.48	<LOD	<LOD	<LOD	<LOD	19.85	<LOD	<LOD	2023.29	724.67	1685.76	<LOD	7426.23	<LOD	14.00	3.56	27.48	1.96	<LOD	633.56	5909.68	689.43	393.00	304.53	316.67	1342.29	266.59	151.57	80.72	<LOD	<LOD	947237.69	7.79	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2128.87	12925.20	9152.43	<LOD	578.28	298.70
126	18/11/2019	15:51:00	121.46	apa2001-005.39-1	S	APA2001	<LOD	63.71	36.59	<LOD	13.14	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	1846.46	613.73	1291.12	304.34	11021.04	<LOD	12.33	4.38	37.02	1.92	1078.70	686.64	6078.97	808.11	701.36	363.46	412.41	1103.01	211.96	129.47	65.83	27.07	<LOD	936717.50	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2360.42	18557.09	9201.67	<LOD	510.48	237.48
127	18/11/2019	15:54:00	121.91	apa2001-005.39-2	D	APA2001	<LOD	69.72	38.04	<LOD	14.53	<LOD	17.10	<LOD	<LOD	18.16	<LOD	<LOD	1852.01	639.22	1405.39	<LOD	9803.31	<LOD	12.85	4.22	38.76	2.37	<LOD	699.56	5927.40	710.33	556.56	335.91	361.38	1184.43	228.35	102.11	63.86	<LOD	<LOD	936845.06	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2257.36	20553.18	8777.40	<LOD	498.56	253.99
131	18/11/2019	16:08:00	122.81	apa2001-006.00-1	S	APA2001	<LOD	91.59	61.95	<LOD	14.90	<LOD	20.39	<LOD	<LOD	15.83	<LOD	<LOD	1872.37	677.20	1285.59	<LOD	10198.89	<LOD	13.49	5.48	49.44	3.38	227.60	703.17	5622.82	882.99	483.59	304.92	347.78	1161.92	220.12	145.58	69.88	18.27	<LOD	924191.06	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2444.65	29828.10	8862.46	<LOD	517.14	280.10
132	18/11/2019	16:11:00	120.7	apa2001-006.00-2	D	APA2001	<LOD	73.79	90.90	<LOD	11.23	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	1770.89	618.72	1312.17	343.45	7514.87	<LOD	12.48	3.22	32.90	<LOD	536.80	661.20	5687.81	639.65	394.21	211.36	237.74	1026.08	222.61	117.94	56.52	23.02	<LOD	931341.25	6.73	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2800.87	20762.26	8953.90	<LOD	518.19	264.17
128	18/11/2019	15:59:00	139.78	apa2001-007.20-1	S	APA2001	<LOD	87.19	25.43	1.98	32.93	<LOD	16.88	<LOD	<LOD	<LOD	<LOD	<LOD	1497.33	578.22	1099.06	206.24	11680.92	<LOD	<LOD	<LOD	<LOD		1452.37	10446.29	5018.41	657.92	361.71	244.25	296.18	561.71	<LOD	<LOD	<LOD	<LOD	<LOD	934896.75	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2117.89	20942.34	7761.18	<LOD	<LOD	<LOD
130	18/11/2019	16:04:00	121.41	apa2001-007.20-2	D	APA2001	<LOD	78.53	22.05	<LOD	24.88	<LOD	15.33	<LOD	<LOD	<LOD	<LOD	<LOD	1316.69	459.72	915.82	<LOD	13740.98	<LOD	12.18	6.23	59.01	3.79	68.86	1006.36	4011.19	611.12	432.14	196.60	278.58	1309.25	204.55	135.06	69.72	23.45	<LOD	937036.06	7.38	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	1364.15	24174.19	5476.86	<LOD	522.85	242.79
134	18/11/2019	16:19:00	122.07	apa2001-008.35-1	S	APA2001	<LOD	83.57	23.21	<LOD	21.55	<LOD	29.38	<LOD	<LOD	<LOD	<LOD	<LOD	1713.45	642.27	1243.16	<LOD	7929.16	<LOD	12.68	4.24	27.86	2.10	1084.69	777.43	6022.46	667.71	519.85	<LOD	261.24	1330.17	260.65	132.30	81.80	20.50	<LOD	927878.50	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	1997.61	30940.87	8952.49	<LOD	561.63	272.85
135	18/11/2019	16:22:00	120.89	apa2001-008.35-2	D	APA2001	<LOD	89.05	23.07	<LOD	21.64	14.14	22.65	<LOD	<LOD	<LOD	<LOD	<LOD	1714.25	622.23	1244.09	<LOD	9409.40	<LOD	14.12	4.34	44.95	2.90	1117.21	770.41	5277.48	627.67	338.89	313.90	240.28	1262.05	198.66	121.60	47.35	23.05	<LOD	937224.13	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	2366.12	21799.76	8184.35	<LOD	436.42	237.19
