"","Element","Correction","Mean1","Mean2"
"2","Zr",1.09935350473269,377.153636363636,343.068571428571
"3","Sr",1.0217436439357,103.217272727273,101.020714285714
"14","Cu",1.02421201475554,284.463181818182,277.738571428571
"15","Ni",1.10826716287059,100.555454545455,90.7321428571429
"17","Fe",1.02596845688911,40507.4331818182,39482.1428571429
"19","Cr",1.01756547167068,32.7190909090909,32.1542857142857
"20","V",0.996609676604821,99.6972727272727,100.036428571429
"21","Ti",1.06688765037738,4141.71272727273,3882.05142857143
"25","S",0.999101673698593,2205.051,2207.03363636364
"26","Nd",0.947559676425411,443.916818181818,468.484285714286
"27","Pr",0.985148284071418,278.565454545455,282.765
"30","Ba",0.989248599933821,493.866818181818,499.234285714286
"31","Sb",1.0028461526285,41.1381818181818,41.0214285714286
"32","Sn",0.948135011774283,36.0013636363636,37.9707142857143
"33","Cd",1.10481015033186,13.0855555555556,11.8441666666667
"46","Cl",1.22031574140875,1070.56818181818,877.287857142857
"48","Cs",0.966689506029255,148.964090909091,154.097142857143
"49","Te",0.981362693733722,54.7586363636364,55.7985714285714
